id ;uid                                  ;title                 ;sub_title                       ;description                                 ;long_description ;status     ;priority ;place ;location             ;css_theme ;url ;is_public ;start_date          ;end_date            ;opening_hours ;image                         ;image_content_type ;image_sha_1                              ;image_url ;thumbnail                     ;thumbnail_content_type ;thumbnail_sha_1                          ;ical                          ;ical_content_type ;created_at          ;updated_at          ;created_by_id ;calendar_id
1  ;5eadfd10-9c6b-4d6c-b04a-da293dc6a623 ;Réunion DD            ;Réunion Didier Donsez           ;Réunion afin de discuter des spec du projet ;                 ;CANCELLED  ;49194    ;      ;P009                 ;          ;    ;1         ;2020-02-03T14:02:12 ;2020-02-03T03:06:13 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80709 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80709 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-11T05:59:29 ;2020-02-11T03:50:30 ;4             ;1
2  ;91678069-2484-433a-9ba5-c6ff05d858da ;Réunion Scrum         ;Reunion dirigé par tom          ;Discussion autour du trello                 ;                 ;CONFIRMED  ;6389     ;      ;P010                 ;          ;    ;0         ;2020-02-07T21:48:42 ;2020-02-07T19:13:26 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80710 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80710 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-10T19:15:10 ;2020-02-10T19:07:04 ;3             ;1
3  ;36d7e2da-51f1-4094-adf9-796fc293bb1f ;Soutenance            ;Soutenance DD                   ;Soutenance avec didier                      ;                 ;DRAFT      ;18527    ;      ;P011                 ;          ;    ;1         ;2020-02-12T04:00:46 ;2020-02-12T23:23:09 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80711 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80711 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-11T11:36:49 ;2020-02-10T23:59:44 ;4             ;1
4  ;ea550cbb-2959-45ec-8251-879f7c9dedda ;Anniversaire Corentin ;Anniversaire Corentin Chaseguet ;Mega fiesta                                 ;                 ;IN_PROCESS ;10125    ;      ;"-9;-97.932884;78"   ;          ;    ;1         ;2020-02-03T01:06:25 ;2020-02-03T03:05:32 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80712 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80712 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-11T09:54:23 ;2020-02-11T06:06:12 ;3             ;2
5  ;93e9c06b-21b3-4500-8dee-4cea54325491 ;Anniversaire Ergi     ;Anniversaire Ergi Sala          ;Grosse fête                                 ;                 ;IN_PROCESS ;45894    ;      ;                     ;          ;    ;0         ;2020-02-04T00:40:48 ;2020-02-04T04:38:51 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80713 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80713 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-11T15:16:12 ;2020-02-11T02:25:14 ;4             ;2
6  ;4f4b7055-1efd-4859-b598-ff2b2bf6afa8 ;Anniversaire Thibaut  ;Anniversaire Thibaut Arnoux     ;Soirée tartiflette                          ;                 ;DRAFT      ;26341    ;      ;"90;180.00000000;09" ;          ;    ;1         ;2020-02-12T10:34:32 ;2020-02-12T03:09:09 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80714 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80714 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-11T13:09:50 ;2020-02-11T10:56:09 ;4             ;2
7  ;30f0f195-8309-4d00-aa82-0329f68f8363 ;Séance course         ;Course à montbonnot             ;Séance quotidienne de course                ;                 ;DRAFT      ;18921    ;      ;                     ;          ;    ;0         ;2020-02-13T04:41:07 ;2020-02-13T06:47:03 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80715 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80715 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-10T17:34:34 ;2020-02-11T02:31:53 ;3             ;3
8  ;9b4fec4a-f1e2-463d-ad49-4f6b75fba9bc ;Séance abdos          ;Séance abdos                    ;Séance quotidienne d'abdo                   ;                 ;DRAFT      ;57131    ;      ;                     ;          ;    ;0         ;2020-02-11T12:38:44 ;2020-02-11T16:13:23 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80716 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80716 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-11T13:56:57 ;2020-02-11T01:20:25 ;4             ;3
9  ;c3c889f3-f5f0-454d-a02d-c15af1b7d0b3 ;Natation              ;Séance natation                 ;Séance natation hebdomadaire                ;                 ;COMPLETED  ;43062    ;      ;                     ;          ;    ;1         ;2020-02-12T10:01:32 ;2020-02-12T14:42:58 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80717 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80717 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-10T20:20:26 ;2020-02-11T12:09:39 ;3             ;3
10 ;7f14358e-c798-48d0-9572-963e68d435fb ;Séance course         ;Course à montbonnot             ;Séance quotidienne de course                ;                 ;COMPLETED  ;89993    ;      ;                     ;          ;1   ;true      ;2020-02-14T07:57:28 ;2020-02-14T09:52:41 ;              ;../fake-data/blob/hipster.png ;image/png          ;da39a3ee5e6b4b0d3255bfef95601890afd80718 ;          ;../fake-data/blob/hipster.png ;image/png              ;da39a3ee5e6b4b0d3255bfef95601890afd80718 ;../fake-data/blob/hipster.png ;image/png         ;2020-02-10T23:53:50 ;2020-02-10T19:24:24 ;4             ;3
